中文,en,es,fr,de,pt-BR,ru,ja,ko,ar,it,hi,zh-TW
按钮,button,botón,bouton,Schaltfläche,botão,кнопка,ボタン,버튼,زر,pulsante,बटन,按鈕
查看,view,ver,voir,Anzeigen,visualizar,Просмотреть,表示,보기,عرض,Visualizza,देखें,檢視
登录,Login,Iniciar sesión,Connexion,Anmelden,Entrar,Войти,ログイン,로그인,تسجيل الدخول,Accesso,लॉगिन,登入
注销,Logout,Cerrar sesión,Déconnexion,Abmelden,Sair,Выйти,ログアウト,로그아웃,تسجيل الخروج,Uscita,लॉगआउट,登出
注册,Register,Registrarse,S'inscrire,Registrieren,Cadastrar,Зарегистрироваться,登録,회원가입,تسجيل,Registrarsi,पंजीकरण,註冊
用户,User,Usuario,Utilisateur,Benutzer,Usuário,Пользователь,ユーザー,사용자,مستخدم,Utente,उपयोगकर्ता,使用者
角色,Role,Rol,Rôle,Rolle,Função,Роль,ロール,역할,دور,Ruolo,भूमिका,角色
权限,Permission,Permiso,Autorisation,Berechtigung,Permissão,Разрешение,権限,권한,صلاحية,Permesso,अनुमति,權限
仪表盘,Dashboard,Panel,Tableau de bord,Dashboard,Painel,Панель управления,ダッシュボード,대시보드,لوحة التحكم,Dashboard,डैशबोर्ड,儀表板
报表,Reports,Informes,Rapports,Berichte,Relatórios,Отчёты,レポート,보고서,تقارير,Report,रिपोर्ट,報表
通知,Notifications,Notificaciones,Notifications,Benachrichtigungen,Notificações,Уведомления,通知,알림,إشعارات,Notifiche,सूचनाएँ,通知
搜索,Search,Buscar,Rechercher,Suchen,Pesquisar,Поиск,検索,검색,بحث,Cerca,खोज,搜尋
筛选,Filter,Filtrar,Filtrer,Filtern,Filtrar,Фильтр,絞り込み,필터,تصفية,Filtra,फ़िल्टर,篩選
保存,Save,Guardar,Enregistrer,Speichern,Salvar,Сохранить,保存,저장,حفظ,Salva,सहेजें,儲存
取消,Cancel,Cancelar,Annuler,Abbrechen,Cancelar,Отменить,キャンセル,취소,إلغاء,Annulla,रद्द करें,取消
删除,Delete,Eliminar,Supprimer,Löschen,Excluir,Удалить,削除,삭제,حذف,Elimina,हटाएं,刪除
